                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
86,0.85618,0.70076,1.372,0.86426,0.67553,0.77461,0.48098,1.4988,1.0337,2.0064,0.0057925,0.0057925,0.0057925
87,0.85021,0.70164,1.3631,0.84873,0.67905,0.7735,0.48177,1.4908,1.0546,2.0066,0.005743,0.005743,0.005743
88,0.8477,0.68307,1.3541,0.80681,0.69761,0.76809,0.48314,1.4761,1.0657,1.9868,0.0056935,0.0056935,0.0056935
89,0.84598,0.69458,1.3487,0.82413,0.67639,0.77174,0.47801,1.4698,1.0807,1.9702,0.005644,0.005644,0.005644
90,0.82713,0.66708,1.3417,0.83339,0.68435,0.76022,0.47691,1.488,1.0797,2.0051,0.0055945,0.0055945,0.0055945
91,0.82655,0.66572,1.3397,0.86567,0.68377,0.78118,0.48641,1.4728,1.0624,2.0071,0.005545,0.005545,0.005545
92,0.83596,0.66699,1.34,0.8365,0.69231,0.77575,0.47929,1.465,1.0631,1.997,0.0054955,0.0054955,0.0054955
93,0.82177,0.66859,1.3425,0.81107,0.71088,0.77773,0.48434,1.4776,1.0582,2.0056,0.005446,0.005446,0.005446
94,0.82744,0.6539,1.3362,0.78721,0.7321,0.78093,0.48568,1.4854,1.0418,2.0039,0.0053965,0.0053965,0.0053965
95,0.80635,0.64849,1.3248,0.83408,0.69761,0.77648,0.49087,1.4806,1.0726,1.9893,0.005347,0.005347,0.005347
96,0.80132,0.65425,1.3208,0.80219,0.70995,0.77971,0.48851,1.4848,1.0188,2.0131,0.0052975,0.0052975,0.0052975
97,0.79607,0.64168,1.3125,0.81793,0.71499,0.78195,0.49183,1.4776,1.0107,2.0083,0.005248,0.005248,0.005248
98,0.79182,0.63787,1.3049,0.84663,0.68821,0.77282,0.48791,1.4719,1.0139,2.0127,0.0051985,0.0051985,0.0051985
99,0.79231,0.62993,1.3105,0.80846,0.71088,0.78218,0.49459,1.4761,1.0006,2.0147,0.005149,0.005149,0.005149
100,0.78325,0.62533,1.3054,0.86659,0.67374,0.77676,0.49017,1.467,1.0172,1.993,0.0050995,0.0050995,0.0050995
101,0.77927,0.61284,1.2948,0.8344,0.70027,0.7804,0.49893,1.45,1.0442,1.9827,0.00505,0.00505,0.00505
102,0.77407,0.61127,1.2964,0.86073,0.68851,0.7811,0.49675,1.449,1.0618,1.9967,0.0050005,0.0050005,0.0050005
103,0.76703,0.61127,1.2904,0.84413,0.6895,0.77239,0.49428,1.4455,1.04,2.0023,0.004951,0.004951,0.004951
104,0.76375,0.60457,1.2826,0.85758,0.68435,0.77222,0.48769,1.4655,1.0541,2.0191,0.0049015,0.0049015,0.0049015
105,0.76163,0.59135,1.2796,0.8538,0.687,0.77035,0.48237,1.4787,1.0579,2.0033,0.004852,0.004852,0.004852
106,0.75716,0.57742,1.2758,0.85082,0.69231,0.77927,0.489,1.468,1.0383,2.0209,0.0048025,0.0048025,0.0048025
107,0.7446,0.58054,1.265,0.83316,0.70822,0.779,0.49286,1.487,1.0503,2.0497,0.004753,0.004753,0.004753
